,video_name,tag
0,Dataset/MotionDataset/train/hands flapping/HandsFlapping (10).mp4,hands flapping
1,Dataset/MotionDataset/train/hands flapping/HandsFlapping (11).mp4,hands flapping
2,Dataset/MotionDataset/train/hands flapping/HandsFlapping (12).mp4,hands flapping
3,Dataset/MotionDataset/train/hands flapping/HandsFlapping (7).mp4,hands flapping
4,Dataset/MotionDataset/train/hands flapping/HandsFlapping (2).mp4,hands flapping
5,Dataset/MotionDataset/train/hands flapping/HandsFlapping (8).mp4,hands flapping
6,Dataset/MotionDataset/train/hands flapping/HandsFlapping (9).mp4,hands flapping
7,Dataset/MotionDataset/train/hands flapping/HandsFlapping (5).mp4,hands flapping
8,Dataset/MotionDataset/train/hands flapping/HandsFlapping (3).mp4,hands flapping
9,Dataset/MotionDataset/train/arms shaking/ArmsShaking (4).mp4,arms shaking
10,Dataset/MotionDataset/train/arms shaking/ArmsShaking (2).mp4,arms shaking
11,Dataset/MotionDataset/train/arms shaking/ArmsShaking (3).mp4,arms shaking
12,Dataset/MotionDataset/train/arms shaking/ArmsShaking (7).mp4,arms shaking
13,Dataset/MotionDataset/train/arms shaking/ArmsShaking (6).mp4,arms shaking
14,Dataset/MotionDataset/train/arms shaking/ArmsShaking (17).mp4,arms shaking
15,Dataset/MotionDataset/train/arms shaking/ArmsShaking (18).mp4,arms shaking
16,Dataset/MotionDataset/train/arms shaking/ArmsShaking (19).mp4,arms shaking
17,Dataset/MotionDataset/train/arms shaking/ArmsShaking (20).mp4,arms shaking
18,Dataset/MotionDataset/train/arms shaking/ArmsShaking (21).mp4,arms shaking
19,Dataset/MotionDataset/train/arms shaking/ArmsShaking (22).mp4,arms shaking
20,Dataset/MotionDataset/train/arms shaking/ArmsShaking (23).mp4,arms shaking
21,Dataset/MotionDataset/train/arms shaking/ArmsShaking (10).mp4,arms shaking
22,Dataset/MotionDataset/train/arms shaking/ArmsShaking (8).mp4,arms shaking
23,Dataset/MotionDataset/train/arms shaking/ArmsShaking (9).mp4,arms shaking
24,Dataset/MotionDataset/train/arms shaking/ArmsShaking (15).mp4,arms shaking
25,Dataset/MotionDataset/train/arms shaking/ArmsShaking (12).mp4,arms shaking
26,Dataset/MotionDataset/train/arms shaking/ArmsShaking (13).mp4,arms shaking
